settled_at_utc,transaction_id,portfolio_id,ticker,quantity,fill_date,open_used,fill_price,fx_rate,commission,total_sar_cash_effect,price_source,price_fetched_at_utc
2026-09-08T16:52:14+00:00,T0001,B,VTI,96.0,2026-09-08,379.34,379.5297,3.755,2.62,-137164.76,yahoo,2026-09-08T16:51:41+00:00
2026-09-08T16:52:14+00:00,T0004,B,SGOV,52.0,2026-09-08,100.48,100.5302,3.755,2.47,-19687.90,yahoo,2026-09-08T16:51:41+00:00
2026-09-08T16:52:14+00:00,T0005,C,VTI,48.0,2026-09-08,379.34,379.5297,3.755,2.45,-68586.67,yahoo,2026-09-08T16:51:41+00:00
2026-09-08T16:52:14+00:00,T0008,C,SGOV,26.0,2026-09-08,100.48,100.5302,3.755,2.38,-9848.26,yahoo,2026-09-08T16:51:41+00:00
2026-09-08T16:52:14+00:00,T0009,D,VTI,83.0,2026-09-08,379.34,379.5297,3.755,2.57,-118591.51,yahoo,2026-09-08T16:51:41+00:00
2026-09-08T16:52:14+00:00,T0012,D,SGOV,52.0,2026-09-08,100.48,100.5302,3.755,2.47,-19687.90,yahoo,2026-09-08T16:51:41+00:00
2026-09-08T16:52:14+00:00,T0013,B,VTI,27.0,2026-09-08,379.34,379.5297,3.755,2.38,-38583.78,yahoo,2026-09-08T16:51:41+00:00
2026-09-08T16:52:14+00:00,T0014,C,VTI,13.0,2026-09-08,379.34,379.5297,3.755,2.33,-18581.83,yahoo,2026-09-08T16:51:41+00:00
2026-09-08T16:52:14+00:00,T0015,D,VTI,27.0,2026-09-08,379.34,379.5297,3.755,2.38,-38583.78,yahoo,2026-09-08T16:51:41+00:00
